DISTRICTID,STFIPS,CDFIPS,STATE_ABBR,NAME,LAST_NAME,PARTY,SQMI,UniqueID,TREND_Z,TREND_P,TREND_BIN,CATEGORY,PATTERN,PERC_HOT,SUM_VALUE,MIN_VALUE,MAX_VALUE,MEAN_VALUE,STD_VALUE,MED_VALUE,population,populati_1,populati_2,raceandhis,wealth_pci,ownerrente,ownerren_1,ownerren_2,ownerren_3,households,househol_1,househol_2,househol_3,populati_3,populati_4,historical,housingcos,housingc_1,housingc_2,housingc_3,homevalue_,END_DATE1_,END_DATE11,END_DATE_1,END_DATE_2,END_DATE_3,END_DATE_4,END_DATE_5,END_DATE_6,END_DATE_7,END_DATE_8,END_DATE_9,END_DAT_10,END_DAT_11,END_DAT_12,END_DAT_13,END_DAT_14,END_DAT_15,END_DAT_16,END_DAT_17,Shape__Are,Shape__Len,GlobalID,PM25Weight
1701,17,01,IL,Bobby L. Rush,Rush,Democrat,259.220000000000027,134,-3.848412857,0.000118886,-3,4,Persistent Hot Spot,100.000000000000000,262.750756517000013,10.348555738000000,18.287482785100000,13.828987185100001,2.281846593910000,13.935488317800001,-0.41,-0.04,-0.07,462488.000000000000000,28348.000000000000000,106356.000000000000000,39.930000000000000,159996.000000000000000,60.070000000000000,48101.000000000000000,18.140000000000001,216998.000000000000000,81.859999999999999,710243.000000000000000,707594.000000000000000,712208.000000000000000,0,818.000000000000000,0,265100.000000000000000,258535.000000000000000,18.287482785100000,15.109903717300000,17.457496517100001,16.421182969600000,15.014305367900000,16.360797811200001,13.935488317800001,14.724621746500000,15.719807463500000,13.407840433600001,12.020220075699999,11.836313626800001,11.679092164500000,12.066574952000000,10.348555738000000,10.906189790000001,12.161898191900001,14.050343857200000,11.242640991200000,1199544550.339999914169312,344770.545800000021700,{5DAF9656-A5B7-4BF5-8C22-0D9021ADC74D},14.096298755499999
1702,17,02,IL,Robin L. Kelly,Kelly,Democrat,1089.309999999999945,135,-3.848412857,0.000118886,-3,4,Persistent Hot Spot,100.000000000000000,259.290727677999996,9.818236264530000,19.270226206400000,13.646880404099999,2.511009327860000,13.476206327600000,-0.38,-0.26,-0.28,493344.000000000000000,25131.000000000000000,93568.000000000000000,36.759999999999998,160954.000000000000000,63.240000000000002,47228.000000000000000,18.239999999999998,211739.000000000000000,81.760000000000005,696334.000000000000000,686725.000000000000000,712660.000000000000000,0,792.000000000000000,0,258967.000000000000000,183904.000000000000000,19.270226206400000,15.259115116000000,17.390518951499999,16.411277453400000,14.873053901900001,16.153526286500000,13.646107804000000,14.859381236600001,15.227445123700001,13.121989350400000,11.610016628300000,11.305291190400000,11.611148092900001,11.926189692399999,9.818236264530000,10.594009985600000,11.986123112900000,13.476206327600000,10.750864953400001,4998962375.989999771118164,417372.330734000017401,{72E8EDE5-8100-4B5A-A534-ED16202470C0},13.932079830199999
1703,17,03,IL,Daniel Lipinski,Lipinski,Democrat,242.050000000000011,136,-3.848412857,0.000118886,-3,4,Persistent Hot Spot,100.000000000000000,259.749048264999999,10.489019060200000,17.311127366600001,13.671002540300000,2.135715052070000,13.808345541900000,0.61,0.06,-0.07,298211.000000000000000,31748.000000000000000,64819.000000000000000,26.280000000000001,181821.000000000000000,73.719999999999999,24593.000000000000000,10.050000000000001,220209.000000000000000,89.950000000000003,716840.000000000000000,714249.000000000000000,713382.000000000000000,0,875.000000000000000,0,244802.000000000000000,292318.000000000000000,17.311127366600001,14.760029260800000,17.275695443299998,16.182137598200001,14.948609058900001,16.252562203099998,13.808345541900000,14.640117134200000,15.287115666700000,13.526500743800000,11.962957531600001,11.744509500099999,11.460761363500000,12.063103962100000,10.489019060200000,10.881844820800000,11.941581262500000,13.981259144899999,11.231771601800000,1124736419.410000085830688,288193.149353999993764,{8F98D928-730A-4935-90B6-9EA658678F5A},13.758372691900000
1704,17,04,IL,Jesús G. Garcia,Garcia,Democrat,52.789999999999999,137,-4.128297428,3.65459E-05,-3,4,Persistent Hot Spot,100.000000000000000,269.549350688999994,11.133116895500001,18.759740222600001,14.186807931000001,2.253841407620000,14.138961036500000,-0.66,0.16,-0.06,586422.000000000000000,21469.000000000000000,130426.000000000000000,57.859999999999999,94977.000000000000000,42.140000000000001,36479.000000000000000,16.430000000000000,185562.000000000000000,83.569999999999993,723022.000000000000000,720870.000000000000000,712866.000000000000000,0,844.000000000000000,0,222042.000000000000000,287404.000000000000000,18.759740222600001,15.170779265400000,17.918181815699999,16.943506476200000,15.757792256100000,16.218831167600001,14.487662327800001,15.199350654300000,15.635064942500000,14.138961036500000,12.337662300500000,12.203896107600000,11.864935057500000,12.739610356200000,11.133116895500001,11.309740289500001,12.198051997600000,13.964285689500000,11.568181830600000,246830445.854999989271164,236249.920692000014242,{CE728FED-6E24-445E-A1F9-F87761D418E1},13.521697108900000
1705,17,05,IL,Mike Quigley,Quigley,Democrat,96.299999999999997,138,-4.128297428,3.65459E-05,-3,4,Persistent Hot Spot,100.000000000000000,264.174467391000007,10.908178449999999,18.316791032699999,13.903919336400000,2.236232560270000,13.866791034800000,-0.11,0.07,-0.06,242490.000000000000000,50351.000000000000000,150269.000000000000000,48.520000000000003,159405.000000000000000,51.479999999999997,27055.000000000000000,8.900000000000000,276925.000000000000000,91.099999999999994,717194.000000000000000,715152.000000000000000,712902.000000000000000,0,1207.000000000000000,0,303981.000000000000000,466737.000000000000000,18.316791032699999,14.865298516699999,17.519776159300001,16.771268648900001,15.564925393099999,16.039925397299999,14.153731306999999,14.925746223799999,15.236194044800000,13.866791034800000,12.108178393999999,12.004832689600001,11.475464696800000,12.422676596900001,10.908178449999999,10.926022324000000,11.924163584400000,13.773234200699999,11.371268695900000,451392586.725000023841858,245276.966180999996141,{B7055D25-A2F3-482E-8E9C-5E1512C01F78},14.646633643700000
1706,17,06,IL,Sean Casten,Casten,Democrat,389.389999999999986,139,-4.128297428,3.65459E-05,-3,4,Persistent Hot Spot,100.000000000000000,248.513815244000000,10.205489484099999,17.318572737200000,13.079674486500000,2.109867426980000,13.149039356599999,0.58,0.22,0.22,181202.000000000000000,49895.000000000000000,53475.000000000000000,20.039999999999999,213312.000000000000000,79.959999999999994,15594.000000000000000,5.860000000000000,250623.000000000000000,94.140000000000001,727319.000000000000000,735219.000000000000000,711936.000000000000000,0,1188.000000000000000,0,266216.000000000000000,411701.000000000000000,17.318572737200000,13.772278140899999,16.235041192600001,15.726075012800001,14.797895702900000,15.318389757300000,13.149039356599999,14.153430910799999,14.162854533200001,12.752241529899999,11.739798712500001,11.657731020400000,10.333119849599999,11.529734660400001,10.279231479800000,10.205489484099999,11.254162862599999,13.388838057799999,10.739890242500000,1829161402.680000066757202,454272.125667000014801,{5B857551-5783-400A-B78D-0C2622136F6A},13.104540303900000
1707,17,07,IL,Danny K. Davis,Davis,Democrat,62.119999999999997,140,-4.128297428,3.65459E-05,-3,4,Persistent Hot Spot,100.000000000000000,276.153529369000012,11.414117639200001,19.368823500200001,14.534396282599999,2.320382567480000,14.411176473999999,-0.45,0.56,0.36,548949.000000000000000,39580.000000000000000,188921.000000000000000,60.840000000000003,121614.000000000000000,39.159999999999997,58714.000000000000000,19.719999999999999,238968.000000000000000,80.280000000000001,750798.000000000000000,764590.000000000000000,713271.000000000000000,0,972.000000000000000,0,297682.000000000000000,403590.000000000000000,19.368823500200001,15.616470544500000,18.346470731800000,17.391764708099998,16.164117611199998,16.515294091800001,14.822941247199999,15.532352918699999,16.009999914700000,14.411176473999999,12.616470594999999,12.470000025799999,12.210588219600000,13.062941158499999,11.414117639200001,11.616470606200000,12.545294105300000,14.224117632500000,11.814117644800000,293021504.995999991893768,211348.344183999986853,{51AE40BA-2A9A-4EB1-B3D8-8DBE8022A9A8},14.823071638600000
1708,17,08,IL,Raja Krishnamoorthi,Krishnamoorthi,Democrat,209.669999999999987,141,-4.128297428,3.65459E-05,-3,4,Persistent Hot Spot,100.000000000000000,251.501697803000013,10.239558535600001,17.668590827399999,13.236931463299999,2.175403950970000,13.343972823000000,0.15,0.07,0,355834.000000000000000,32826.000000000000000,78453.000000000000000,30.640000000000001,177636.000000000000000,69.359999999999999,21734.000000000000000,8.609999999999999,230708.000000000000000,91.390000000000001,717345.000000000000000,717197.000000000000000,712675.000000000000000,0,1098.000000000000000,0,252442.000000000000000,273852.000000000000000,17.668590827399999,13.940747034399999,16.522071328300001,15.832088274500000,15.027164700500000,15.587436342500000,13.343972823000000,14.295925297400000,14.339558567399999,12.965025450100001,11.842784368300000,11.719185034200001,10.436842110400001,11.622920198199999,10.385738562200000,10.239558535600001,11.379286939300000,13.516977940000000,10.835823468699999,984175903.453999996185303,313326.914976999978535,{B77E95AE-5D0D-4054-B27D-D6C54B00E54D},13.183017418400000
1709,17,09,IL,Janice D. Schakowsky,Schakowsky,Democrat,105.340000000000003,142,-4.198268571,2.68964E-05,-3,4,Persistent Hot Spot,100.000000000000000,262.986110540000027,10.792631617800000,18.683390990300001,13.841374238900000,2.302442843640000,13.990657420300000,-0.33,0.02,-0.06,270870.000000000000000,45589.000000000000000,117258.000000000000000,40.000000000000000,175880.000000000000000,60.000000000000000,34018.000000000000000,11.840000000000000,253292.000000000000000,88.159999999999997,713619.000000000000000,711310.000000000000000,712579.000000000000000,0,1041.000000000000000,0,287309.000000000000000,453417.000000000000000,18.683390990300001,14.896193774900000,17.431487855600000,16.704498251400000,15.598961935700000,15.762975801600000,14.330795852400000,14.841522480800000,15.153287220999999,13.990657420300000,11.918596481900000,11.909122808399999,11.242456151700001,12.458245605300000,10.915438601800000,10.792631617800000,11.681052586100000,13.378947371800001,11.295847731100000,497586307.615000009536743,210269.281958000006853,{840BADC1-4CF7-4A4A-91C4-9E1D7BFF2F97},14.318613969899999
1710,17,10,IL,Bradley Scott Schneider,Schneider,Democrat,311.389999999999986,143,-3.988355143,6.6533E-05,-3,4,Persistent Hot Spot,100.000000000000000,253.479514217000002,10.431674220400000,18.059593660299999,13.341027064100000,2.190787337570000,13.683069979400001,0.48,0.03,-0.02,314213.000000000000000,43353.000000000000000,74412.000000000000000,29.600000000000001,176961.000000000000000,70.400000000000006,22082.000000000000000,8.840000000000000,227813.000000000000000,91.159999999999997,714719.000000000000000,714066.000000000000000,712475.000000000000000,0,1030.000000000000000,0,249895.000000000000000,409921.000000000000000,18.059593660299999,14.129571107400000,16.639051929299999,16.017832946599999,15.098645604200000,15.205756207900000,14.097629800100000,14.225056438399999,14.347178338599999,13.683069979400001,11.675339369800000,11.704072387000000,10.522737556999999,11.893891410100000,10.720475115899999,10.431674220400000,11.297511311099999,12.829072413900001,10.901354420000001,1476806976.519999980926514,309584.848709999991115,{BD82CAF1-D65C-440C-A8F0-BFE42F452393},13.345234579400000
1711,17,11,IL,Bill Foster,Foster,Democrat,286.449999999999989,144,-3.988355143,6.6533E-05,-3,4,Persistent Hot Spot,100.000000000000000,262.263204085999973,10.550688371200000,17.740801027000000,13.803326530900000,2.208451266820000,13.684730914099999,2.170000000000000,0.27,0.31,368454.000000000000000,33729.000000000000000,64469.000000000000000,25.809999999999999,185303.000000000000000,74.189999999999998,21971.000000000000000,8.920000000000000,224422.000000000000000,91.079999999999998,730851.000000000000000,742166.000000000000000,713458.000000000000000,0,1063.000000000000000,0,246393.000000000000000,268702.000000000000000,17.740801027000000,14.898372962900000,17.377847313400000,16.338297886900001,15.284981222700001,16.790488155999999,13.684730914099999,14.794618272399999,15.234668350900000,13.394993735500000,12.202628270600000,12.112515623800000,11.368085116400000,12.048936154000000,10.550688371200000,10.896745936000000,12.061076363600000,14.098372973800000,11.384355435200000,1330096911.509999990463257,366529.489472999994177,{248090B5-F70E-44F9-812B-03006AC44A68},13.744557958800000
1712,17,12,IL,Mike Bost,Bost,Republican,5186.899999999999636,145,-3.918384,8.91446E-05,-3,6,Sporadic Hot Spot,84.210526315799996,237.438531619000003,8.630624562510000,19.847457501699999,12.496764821999999,3.048426694970000,11.556986204299999,0.18,-0.12,-0.26,174284.000000000000000,26681.000000000000000,96503.000000000000000,34.159999999999997,185992.000000000000000,65.840000000000003,47029.000000000000000,16.949999999999999,230505.000000000000000,83.049999999999997,705106.000000000000000,696103.000000000000000,712816.000000000000000,0,558.000000000000000,0,277534.000000000000000,159616.000000000000000,19.847457501699999,14.607598433300000,17.017368891899999,15.205920384200001,15.305317459099999,15.124516931600001,12.742953651500001,15.009872156500000,11.965974141000000,11.326100535600000,9.742047931049999,9.211590402890000,10.249121281600001,10.836586787500000,8.630624562510000,9.956913582689999,10.459753086799999,11.556986204299999,8.641827692910001,21664683093.599998474121094,1050760.949800000060350,{42D3208F-13D2-484E-92C3-835E7B3840B9},12.816217671500000
1713,17,13,IL,Rodney Davis,Davis,Republican,5876.970000000000255,146,-4.478153143,7.52916E-06,-3,6,Sporadic Hot Spot,84.210526315799996,243.288879865000013,8.534145892970001,19.722529364800000,12.804677887600000,3.072321688480000,11.958421821100000,0.35,0.05,-0.1,160078.000000000000000,29442.000000000000000,101682.000000000000000,34.880000000000003,189806.000000000000000,65.120000000000005,49007.000000000000000,17.199999999999999,235934.000000000000000,82.799999999999997,715852.000000000000000,712261.000000000000000,713141.000000000000000,0,631.000000000000000,0,284941.000000000000000,171828.000000000000000,19.722529364800000,15.747923616700000,17.226267510700001,16.733687259400000,15.446868135500001,15.153590506800001,12.722416282399999,14.540931080900000,12.909781993999999,11.554168495800001,10.290695480100000,9.905403021780000,11.175686372099999,10.427002581600000,8.534145892970001,9.861506566799999,10.271112662100000,11.958421821100000,9.106741219090001,25607979938.299999237060547,1297534.597730000037700,{5D12B0BE-EA3F-4580-A6E5-0EF1B0A97FCC},13.118175840999999
1714,17,14,IL,Lauren Underwood,Underwood,Democrat,1621.710000000000036,147,-3.918384,8.91446E-05,-3,4,Persistent Hot Spot,100.000000000000000,242.273243118000011,9.884002620400000,17.124901796500001,12.751223322000000,2.064100154570000,12.653011785500000,3.510000000000000,0.65,0.77,182448.000000000000000,40873.000000000000000,46953.000000000000000,17.850000000000001,216044.000000000000000,82.150000000000006,15309.000000000000000,5.990000000000000,240119.000000000000000,94.010000000000005,756801.000000000000000,786334.000000000000000,715689.000000000000000,0,1050.000000000000000,0,255428.000000000000000,310093.000000000000000,17.124901796500001,13.665451766800000,15.834395476899999,14.999519859299999,14.301243997300000,15.084068094199999,12.761785245800001,13.803731989099999,13.925905724100000,12.312723698699999,11.617917942700000,11.414076830899999,10.062505441700001,11.050742032600001,9.884002620400000,10.262047129300001,11.164076820900000,12.653011785500000,10.351134864900001,7620426306.680000305175781,757057.625102999969386,{94C7CB14-B604-4BD6-9286-9F557918D7F1},13.087499477000000
1715,17,15,IL,John Shimkus,Shimkus,Republican,14832.420000000000073,148,-4.338210857,1.43647E-05,-3,5,Diminishing Hot Spot,100.000000000000000,251.592103933000004,9.372586508550000,20.197694698500001,13.241689680700000,3.039148390890000,12.257979002500001,0.02,-0.1,-0.3,70553.000000000000000,27551.000000000000000,72631.000000000000000,25.760000000000002,209370.000000000000000,74.239999999999995,38945.000000000000000,14.020000000000000,238867.000000000000000,85.980000000000004,706143.000000000000000,695728.000000000000000,712875.000000000000000,0,482.000000000000000,0,277812.000000000000000,147217.000000000000000,20.197694698500001,16.440946682400000,17.022561896900001,16.123311121800000,15.901007328500000,15.808178816400000,13.711949982800000,15.999062857100000,13.325796833300000,11.798987671400001,10.515311563699999,9.949617903629999,11.285602968899999,11.250166622200000,9.372586508550000,10.284285034000000,10.923883145000000,12.257979002500001,9.423173295780000,63559638830.099998474121094,1942138.221630000043660,{6C466EA6-83EC-49C2-ADFB-F055BD587912},13.294938833400000
1716,17,16,IL,Adam Kinzinger,Kinzinger,Republican,7987.279999999999745,149,-4.128297428,3.65459E-05,-3,4,Persistent Hot Spot,100.000000000000000,241.046742534999993,9.255360039350000,17.801323076399999,12.686670659700001,2.337888145970000,12.569506325100001,0.83,-0.11,-0.33,126398.000000000000000,31128.000000000000000,76074.000000000000000,27.789999999999999,197650.000000000000000,72.209999999999994,31005.000000000000000,11.340000000000000,242449.000000000000000,88.659999999999997,705415.000000000000000,693736.000000000000000,713433.000000000000000,0,653.000000000000000,0,273454.000000000000000,179948.000000000000000,17.801323076399999,13.818302512000001,16.048800684400000,15.318478021800001,14.595418757099999,15.413847267600000,12.569506325100001,14.005616312000001,13.491224517699999,12.101998108100000,11.224419440400000,10.737349232400000,10.612065703400001,10.696561650900000,9.255360039350000,10.060103511800000,10.887763281300000,12.591494148700001,9.817109944720000,36796183179.900001525878906,1402759.850090000079945,{3E149355-878F-44B5-8615-E1DEFBCABBB6},12.731284277500000
1717,17,17,IL,Cheri Bustos,Bustos,Democrat,7063.960000000000036,150,-4.268239714,1.97022E-05,-3,6,Sporadic Hot Spot,78.947368421099995,227.993248013999988,8.894336183829999,15.855734794800000,11.999644632300001,2.040115625740000,11.681940768900001,-0.3,-0.3,-0.5,178317.000000000000000,25820.000000000000000,94492.000000000000000,33.539999999999999,187263.000000000000000,66.459999999999994,45046.000000000000000,15.980000000000000,236778.000000000000000,84.019999999999996,693365.000000000000000,676358.000000000000000,712434.000000000000000,0,532.000000000000000,0,281823.000000000000000,147735.000000000000000,15.855734794800000,12.749480967600000,14.530119072500000,14.692652152499999,14.557281704499999,14.949404645800000,11.992112763900000,12.892560552899999,11.681940768900001,11.614156318599999,11.002457895399999,10.394936649100000,10.312533716400001,10.272937767200000,8.894336183829999,10.118731876500000,9.954923426130000,12.157635737900000,9.369311019740000,32539350162.200000762939453,1451962.440029999939725,{5C5BD56E-EF12-4233-8C84-1001DC30735B},12.508042185100001
1718,17,18,IL,Darin LaHood,LaHood,Republican,10663.649999999999636,151,-4.338210857,1.43647E-05,-3,6,Sporadic Hot Spot,89.473684210499997,229.106278674999999,8.114041463070000,17.620217496399999,12.058225193400000,2.660552566980000,11.601073802600000,0.55,0.01,-0.24,84801.000000000000000,35689.000000000000000,70501.000000000000000,24.609999999999999,215956.000000000000000,75.390000000000001,27069.000000000000000,9.539999999999999,256618.000000000000000,90.459999999999994,713500.000000000000000,704903.000000000000000,713556.000000000000000,0,618.000000000000000,0,283688.000000000000000,193565.000000000000000,17.620217496399999,13.941300185599999,16.312441014699999,15.693998359400000,14.716048837700001,14.675531773199999,11.633294577099999,12.935561863300000,11.868476849600000,11.117262840200000,10.223804793999999,9.704408035100000,10.877060393100001,9.979153267050000,8.114041463070000,9.706671911330000,9.726475623930000,11.601073802600000,8.659455587780000,47441830577.699996948242188,1608840.769120000069961,{1410A54A-2367-4E84-8936-4CC39CC69116},12.568913295700000
